127.0.0.1 - - [26/Jun/2019:02:13:35 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:13:37 +0900] "GET /Jsp01_MyBoard_Servlet_remind/ HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:13:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:13:40 +0900] "GET /Jsp01_MyBoard_Servlet_remind/my.do?command=list HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:13:40 +0900] "GET /Jsp01_MyBoard_Servlet_remind/my.do?command=list HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:13:40 +0900] "GET /Jsp01_MyBoard_Servlet_remind/my.do?command=list HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:13:40 +0900] "GET /Jsp01_MyBoard_Servlet_remind/my.do?command=list HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:13:40 +0900] "GET /Jsp01_MyBoard_Servlet_remind/my.do?command=list HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:16:40 +0900] "GET /Jsp01_MyBoard_Servlet_remind/my.do?command=list HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:16:40 +0900] "GET /Jsp01_MyBoard_Servlet_remind/my.do?command=list HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:16:40 +0900] "GET /Jsp01_MyBoard_Servlet_remind/my.do?command=list HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:16:40 +0900] "GET /Jsp01_MyBoard_Servlet_remind/js/jquery-3.4.1.js HTTP/1.1" 200 280364
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:16:40 +0900] "GET /Jsp01_MyBoard_Servlet_remind/my.do?command=list HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:16:40 +0900] "GET /Jsp01_MyBoard_Servlet_remind/my.do?command=list HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [26/Jun/2019:02:16:40 +0900] "GET /Jsp01_MyBoard_Servlet_remind/my.do?command=list HTTP/1.1" 200 1286
